num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.3669762999052182
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.5434342999942601
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.4777741999132558
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.4492554999887943
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.4449990999419242
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.4804836000548675
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.4493722000624984
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.4894038001075387
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.4119582999264821
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.484153600060381
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.3182602999731898
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.3268740999046713
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.3134667999111116
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.3566235000034794
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.311271799961105
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.3695656999479979
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.3445221999427303
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.3637303001014516
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.3191152999643236
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.3790597000624984
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.3092311000218615
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.3514363999711349
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.3692418000428006
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.3993335000704974
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.3550331000005826
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.3642390000168234
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.323870399966836
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.3882923999335617
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.3041687000077218
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.3691761000081897
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.45475130004342645
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.4623882999876514
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.41922849998809397
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.48478000005707145
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.42016819992568344
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.48021139996126294
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.45392010000068694
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.6477346000028774
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.42031600000336766
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.4646740999305621
