equal_capacities,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,allocation,runtime
True,2,1,0,1,capped_round_robin,"{'Agent1': {'m2', 'm4', 'm6'}}",0.0005047349986853078
True,2,1,0,1,two_categories_capped_round_robin,"{'Agent1': {'m4', 'm2', 'm3', 'm5', 'm1', 'm6'}}",0.0003188259943271987
True,2,1,0,1,per_category_capped_round_robin,"{'Agent1': {'m4', 'm2', 'm3', 'm5', 'm1', 'm6'}}",0.0007086429977789521
True,2,1,0,2,capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': set()}",0.0002886700021917932
True,2,1,0,2,two_categories_capped_round_robin,"{'Agent1': {'m2', 'm4', 'm6'}, 'Agent2': {'m5', 'm1', 'm3'}}",0.0003329659957671538
True,2,1,0,2,per_category_capped_round_robin,"{'Agent1': {'m2', 'm4', 'm6'}, 'Agent2': {'m5', 'm1', 'm3'}}",0.00048698700265958905
True,2,1,0,3,capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m5'}, 'Agent3': {'m3'}}",0.00033322600211249664
True,2,1,0,3,two_categories_capped_round_robin,"{'Agent1': {'m2', 'm1'}, 'Agent2': {'m5', 'm6'}, 'Agent3': {'m4', 'm3'}}",0.00035632599610835314
True,2,1,0,3,per_category_capped_round_robin,"{'Agent1': {'m2', 'm1'}, 'Agent2': {'m5', 'm6'}, 'Agent3': {'m4', 'm3'}}",0.0005774710007244721
True,2,1,0,4,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m2'}, 'Agent3': {'m6'}, 'Agent4': {'m5'}}",0.0003861700024572201
True,2,1,0,4,two_categories_capped_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m2'}, 'Agent3': {'m1', 'm6'}, 'Agent4': {'m5', 'm4'}}",0.00035931299498770386
True,2,1,0,4,per_category_capped_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m2'}, 'Agent3': {'m1', 'm6'}, 'Agent4': {'m5', 'm4'}}",0.0007322940000449307
True,2,1,0,5,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m4'}, 'Agent3': set(), 'Agent4': {'m2'}, 'Agent5': set()}",0.00038998800300760195
True,2,1,0,5,two_categories_capped_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m5', 'm4'}, 'Agent3': {'m1'}, 'Agent4': {'m2'}, 'Agent5': {'m6'}}",0.0003885750047629699
